"bookRank","author","authorRank","title","avg_rating","num_ratings","publication_year","num_pages","titleLength","book_series"
3,"Jeff Wheeler",3,"The Scourge of Muirwood",4.07,7374,2013,354,49,"Legends of Muirwood"
4,"Jeff Wheeler",3,"The Queen's Poisoner",4.06,7119,2016,336,39,"Kingfountain"
5,"Jeff Wheeler",3,"The Thief's Daughter",4.33,3144,2016,349,39,"Kingfountain"
6,"Jeff Wheeler",3,"Fireblood",3.88,2857,2013,440,38,"Whispers from Mirrowen"
7,"Jeff Wheeler",3,"The King's Traitor",4.47,2373,2016,NA,37,"Kingfountain"
8,"Jeff Wheeler",3,"The Banished of Muirwood",4.01,2294,2015,416,51,"Covenant of Muirwood"
9,"Jeff Wheeler",3,"Dryad-Born",4.18,1836,2014,466,39,"Whispers from Mirrowen"
10,"Jeff Wheeler",3,"The Void of Muirwood",4.28,1756,NA,NA,47,"Covenant of Muirwood"
1,"Diana Gabaldon",4,"Outlander",4.19,508773,2005,896,24,"Outlander"
2,"Diana Gabaldon",4,"Dragonfly in Amber",4.3,187772,2001,743,34,"Outlander"
3,"Diana Gabaldon",4,"Voyager",4.37,161447,2001,870,23,"Outlander"
4,"Diana Gabaldon",4,"Drums of Autumn",4.33,129838,2001,880,31,"Outlander"
5,"Diana Gabaldon",4,"The Fiery Cross",4.26,108123,2005,1443,31,"Outlander"
6,"Diana Gabaldon",4,"A Breath of Snow and Ashes",4.42,93020,2006,980,42,"Outlander"
7,"Diana Gabaldon",4,"An Echo in the Bone",4.41,76702,2010,1149,35,"Outlander"
8,"Diana Gabaldon",4,"Written in My Own Heart's Blood",4.48,53718,2014,842,47,"Outlander"
9,"Diana Gabaldon",4,"Lord John and the Private Matter",3.64,29982,2005,368,53,"Lord John Grey"
10,"Diana Gabaldon",4,"The Scottish Prisoner",4.18,19365,2012,560,42,"Lord John Grey"
1,"George R. R. Martin",5,"A Game of Thrones",4.44,1288488,2005,835,46,"A Song of Ice and Fire"
2,"George R. R. Martin",5,"A Clash of Kings",4.4,559686,2002,761,46,"A Song of Ice and Fire"
3,"George R. R. Martin",5,"A Storm of Swords",4.54,485015,2003,1177,46,"A Song of Ice and Fire"
4,"George R. R. Martin",5,"A Feast for Crows",4.08,440967,2011,1061,46,"A Song of Ice and Fire"
5,"George R. R. Martin",5,"A Dance with Dragons",4.29,385551,2011,1125,49,"A Song of Ice and Fire"
6,"George R. R. Martin",5,"A Storm of Swords: Blood and Gold",4.56,60084,2011,639,74,"A Song of Ice and Fire"
7,"George R. R. Martin",5,"A Storm of Swords: Steel and Snow",4.49,48346,2001,663,74,"A Song of Ice and Fire"
8,"George R. R. Martin",5,"A Song of Ice and Fire",4.63,37127,NA,4081,53,"A Song of Ice and Fire"
9,"George R. R. Martin",5,"A Song of Ice and Fire",4.62,32798,2011,5216,53,"A Song of Ice and Fire"
10,"George R. R. Martin",5,"A Game of Thrones / A Clash of Kings",4.53,21738,2010,NA,67,"A Song of Ice and Fire"
1,"J. R. R. Tolkien",6,"The Hobbit",4.23,2030162,2002,366,10,""
2,"J. R. R. Tolkien",6,"The Fellowship of the Ring",4.32,1659391,2003,398,54,"The Lord of the Rings"
3,"J. R. R. Tolkien",6,"The Two Towers",4.41,489619,2003,322,42,"The Lord of the Rings"
4,"J. R. R. Tolkien",6,"The Return of the King",4.5,471683,1986,490,50,"The Lord of the Rings"
5,"J. R. R. Tolkien",6,"The Lord of the Rings",4.46,404464,2005,1216,51,"The Lord of the Rings"
6,"J. R. R. Tolkien",6,"The Silmarillion",3.85,147625,2004,386,16,""
7,"J. R. R. Tolkien",6,"J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings",4.59,89889,2012,1728,69,""
8,"J. R. R. Tolkien",6,"The Children of Hurin",3.93,43257,2007,313,21,""
9,"J. R. R. Tolkien",6,"Unfinished Tales of Numenor and Middle-Earth",3.92,21578,2000,611,44,""
10,"J. R. R. Tolkien",6,"The Book of Lost Tales, Part One",3.8,10153,1992,345,66,"The History of Middle-Earth"
1,"Brandon Sanderson",7,"The Final Empire",4.42,206045,2006,541,31,"Mistborn"
2,"Brandon Sanderson",7,"The Way of Kings",4.63,139383,2010,1007,45,"The Stormlight Archive"
3,"Brandon Sanderson",7,"The Well of Ascension",4.34,146763,2007,590,36,"Mistborn"
4,"Brandon Sanderson",7,"The Hero of Ages",4.44,137847,2008,572,31,"Mistborn"
5,"Brandon Sanderson",7,"Words of Radiance",4.76,89318,2014,1087,46,"The Stormlight Archive"
6,"Brandon Sanderson",7,"Elantris",4.16,89960,2006,638,23,"Elantris"
7,"Brandon Sanderson",7,"Steelheart",4.15,88662,2013,386,26,"Reckoners"
8,"Brandon Sanderson",7,"The Alloy of Law",4.2,72355,2011,332,31,"Mistborn"
9,"Brandon Sanderson",7,"Warbreaker",4.2,56864,2009,688,27,"Warbreaker"
10,"Brandon Sanderson",7,"Firefight",4.3,40818,2015,416,25,"Reckoners"
1,"Shannon Mayer",8,"Priceless",3.92,9174,2013,269,29,"Rylee Adamson"
2,"Shannon Mayer",8,"Immune",4.06,6863,2013,242,26,"Rylee Adamson"
3,"Shannon Mayer",8,"Raising Innocence",4.12,6272,2013,NA,37,"Rylee Adamson"
4,"Shannon Mayer",8,"Shadowed Threads",4.17,5608,2013,270,36,"Rylee Adamson"
5,"Shannon Mayer",8,"Blind Salvage",4.18,4748,2013,NA,33,"Rylee Adamson"
6,"Shannon Mayer",8,"Recurve",3.89,4864,NA,242,33,"The Elemental Series"
7,"Shannon Mayer",8,"Tracker",4.27,3752,2014,270,27,"Rylee Adamson"
8,"Shannon Mayer",8,"Veiled Threat",4.27,3073,2014,278,33,"Rylee Adamson"
9,"Shannon Mayer",8,"Breakwater",4.2,2801,2015,NA,37,"The Elemental Series"
10,"Shannon Mayer",8,"Wounded",4.34,2604,2014,300,27,"Rylee Adamson"
1,"Ella Summers",9,"Mercenary Magic",3.99,2077,NA,NA,43,"Dragon Born Serafina"
2,"Ella Summers",9,"Magic Games",4.12,1484,NA,NA,38,"Dragon Born Serafina"
3,"Ella Summers",9,"Magic Edge",3.98,1279,NA,NA,39,"Dragon Born Alexandria"
4,"Ella Summers",9,"Magic Nights",4.07,1066,2016,264,39,"Dragon Born Serafina"
5,"Ella Summers",9,"Blood Magic",4.19,656,2016,284,40,"Dragon Born Alexandria"
6,"Ella Summers",9,"Magic Kingdom",4.2,446,2016,NA,42,"Dragon Born Alexandria"
7,"Ella Summers",9,"Fairy Magic",4.01,407,2016,265,39,"Dragon Born Awakening"
8,"Ella Summers",9,"Rival Magic",4.23,339,2016,NA,38,"Dragon Born Serafina"
9,"Ella Summers",9,"Vampire's Kiss",4.43,290,NA,NA,36,"Legion of Angels"
10,"Ella Summers",9,"Enchanted",3.37,190,NA,NA,32,"Sorcery & Science"
1,"Charlene Hartnady",10,"Mate's Lore",3.95,1453,NA,NA,47,"Chosen by the Vampire Kings"
2,"Charlene Hartnady",10,"A Mate for York",3.91,1453,NA,NA,32,"The Program"
3,"Charlene Hartnady",10,"New Moon",4.14,1186,2014,104,44,"Chosen by the Vampire Kings"
4,"Charlene Hartnady",10,"Torn Desires",4.05,1209,NA,NA,48,"Chosen by the Vampire Kings"
5,"Charlene Hartnady",10,"Love & War",4.08,1160,NA,NA,46,"Chosen by the Vampire Kings"
6,"Charlene Hartnady",10,"Wild Heat",4.1,1146,2014,79,45,"Chosen by the Vampire Kings"
7,"Charlene Hartnady",10,"Red Lust",4.12,1114,NA,NA,44,"Chosen by the Vampire Kings"
8,"Charlene Hartnady",10,"A Mate for Gideon",4.1,989,NA,NA,34,"The Program"
9,"Charlene Hartnady",10,"A Mate for Lazarus",4.29,894,NA,NA,35,"The Program"
10,"Charlene Hartnady",10,"Accidental Theft",4.28,821,2015,83,47,"Stolen by the Alpha Wolf"
1,"Jim Butcher",11,"Storm Front",4.02,200313,2000,355,35,"The Dresden Files"
2,"Jim Butcher",11,"Fool Moon",4.04,112224,2001,401,33,"The Dresden Files"
3,"Jim Butcher",11,"Grave Peril",4.18,97929,2001,378,35,"The Dresden Files"
4,"Jim Butcher",11,"Summer Knight",4.3,90867,2002,449,37,"The Dresden Files"
5,"Jim Butcher",11,"Death Masks",4.31,83937,2003,432,35,"The Dresden Files"
6,"Jim Butcher",11,"Blood Rites",4.33,79858,2004,372,35,"The Dresden Files"
7,"Jim Butcher",11,"Dead Beat",4.43,77690,2006,517,33,"The Dresden Files"
8,"Jim Butcher",11,"Proven Guilty",4.41,74581,2007,479,37,"The Dresden Files"
9,"Jim Butcher",11,"White Night",4.41,73652,2007,416,35,"The Dresden Files"
10,"Jim Butcher",11,"Small Favor",4.43,70539,2008,420,36,"The Dresden Files"
1,"Jaymin Eve",12,"Dragon Marked",4.16,5313,2015,269,39,"Supernatural Prison"
2,"Jaymin Eve",12,"Ash",4.09,4358,2015,201,22,"Hive Trilogy"
3,"Jaymin Eve",12,"Dragon Mystics",4.34,3621,2015,NA,40,"Supernatural Prison"
4,"Jaymin Eve",12,"First World",4.03,3364,2013,356,29,"Walker Saga"
5,"Jaymin Eve",12,"Dragon Mated",4.27,2162,2016,NA,38,"Supernatural Prison"
6,"Jaymin Eve",12,"Spurn",4.34,1938,2013,409,23,"Walker Saga"
7,"Jaymin Eve",12,"Anarchy",4.23,1757,2016,NA,27,"Hive Trilogy"
8,"Jaymin Eve",12,"Crais",4.36,1672,2014,388,23,"Walker Saga"
9,"Jaymin Eve",12,"Regali",4.46,1525,2014,NA,24,"Walker Saga"
10,"Jaymin Eve",12,"Nephilius",4.49,1445,2014,NA,27,"Walker Saga"
1,"R. A. Salvatore",13,"Homeland",4.26,48034,2005,343,75,"Forgotten Realms: The Dark Elf Trilogy #1; Legend of Drizzt"
2,"R. A. Salvatore",13,"Exile",4.24,38323,2006,384,72,"Forgotten Realms: The Dark Elf Trilogy #2; Legend of Drizzt"
3,"R. A. Salvatore",13,"Sojourn",4.23,36483,1999,309,74,"Forgotten Realms: The Dark Elf Trilogy #3; Legend of Drizzt"
4,"R. A. Salvatore",13,"The Crystal Shard",4.13,33304,2007,344,76,"Forgotten Realms: Icewind Dale #1; Legend of Drizzt"
5,"R. A. Salvatore",13,"The Halfling's Gem",4.15,27856,2008,336,77,"Forgotten Realms: Icewind Dale #3; Legend of Drizzt"
6,"R. A. Salvatore",13,"Streams of Silver",4.13,26883,2007,349,76,"Forgotten Realms: Icewind Dale #2; Legend of Drizzt"
7,"R. A. Salvatore",13,"The Dark Elf Trilogy Collector's Edition",4.33,21167,2000,808,107,"Forgotten Realms: Dark Elf Trilogy #1-3; Legend of Drizzt"
8,"R. A. Salvatore",13,"The Legacy",4.18,21378,2006,334,75,"Forgotten Realms: Legacy of the Drow #1; Legend of Drizzt"
9,"R. A. Salvatore",13,"Starless Night",4.12,18997,1994,320,79,"Forgotten Realms: Legacy of the Drow #2; Legend of Drizzt"
10,"R. A. Salvatore",13,"Siege of Darkness",4.15,18177,1995,337,82,"Forgotten Realms: Legacy of the Drow #3; Legend of Drizzt"
1,"Tom Reynolds",14,"Meta",3.8,2781,2013,229,15,"Meta"
2,"Tom Reynolds",14,"The Second Wave",4.05,1241,2014,288,26,"Meta"
3,"Tom Reynolds",14,"Rise of The Circle",4.19,635,2015,313,29,"Meta"
1,"Brent Weeks",15,"The Way of Shadows",4.15,103207,2008,645,36,"Night Angel"
2,"Brent Weeks",15,"Shadow's Edge",4.27,64400,2008,636,31,"Night Angel"
3,"Brent Weeks",15,"Beyond the Shadows",4.29,63096,2008,689,36,"Night Angel"
4,"Brent Weeks",15,"The Black Prism",4.23,56490,2010,629,34,"Lightbringer"
5,"Brent Weeks",15,"The Blinding Knife",4.45,39898,2012,671,37,"Lightbringer"
6,"Brent Weeks",15,"The Broken Eye",4.46,23962,2014,688,33,"Lightbringer"
7,"Brent Weeks",15,"The Night Angel Trilogy",4.42,17872,2009,1392,43,"Night Angel"
8,"Brent Weeks",15,"Perfect Shadow",4.17,9756,2011,70,34,"Night Angel"
9,"Brent Weeks",15,"The Blood Mirror",4.31,1672,2016,682,35,"Lightbringer"
10,"Brent Weeks",15,"The Way of Shadows, Part 2 of 2",4.53,640,NA,8,57,"Night Angel"
1,"Neil Gaiman",16,"American Gods",4.1,439540,2011,635,33,"American Gods"
2,"Neil Gaiman",16,"Coraline",4.01,310876,2006,162,8,""
3,"Neil Gaiman",16,"The Graveyard Book",4.11,294538,2008,312,18,""
4,"Neil Gaiman",16,"The Ocean at the End of the Lane",3.99,292472,2013,178,32,""
5,"Neil Gaiman",16,"Neverwhere",4.17,268476,2003,370,10,""
6,"Neil Gaiman",16,"Stardust",4.06,251799,2006,250,8,""
7,"Neil Gaiman",16,"Anansi Boys",3.99,140107,2006,384,31,"American Gods"
8,"Neil Gaiman",16,"The Sandman, Vol. 1: Preludes and Nocturnes",4.33,118457,1998,NA,43,""
9,"Neil Gaiman",16,"The Sandman, Vol. 3: Dream Country",4.29,66895,1999,160,34,""
10,"Neil Gaiman",16,"The Sandman, Vol. 2: The Doll's House",4.44,57994,1999,232,37,""
1,"Jasmine Walt",17,"Burned by Magic",3.9,2548,NA,NA,42,"The Baine Chronicles"
2,"Jasmine Walt",17,"Bound by Magic",4.15,1457,NA,189,41,"The Baine Chronicles"
3,"Jasmine Walt",17,"Hunted by Magic",4.2,1159,NA,NA,42,"The Baine Chronicles"
4,"Jasmine Walt",17,"Shadow Born",3.98,1054,NA,NA,33,"Shadows of Salem"
5,"Jasmine Walt",17,"Marked by Magic",4.26,893,NA,NA,42,"The Baine Chronicles"
6,"Jasmine Walt",17,"Betrayed by Magic",4.3,488,NA,NA,44,"The Baine Chronicles"
7,"Jasmine Walt",17,"Shadow Marked",4.19,208,NA,NA,35,"Shadows of Salem"
8,"Jasmine Walt",17,"Magic and Mayhem: 21 Fantasy Novels by NY Times, USA Today and Internationally Bestselling Authors",3.95,88,NA,NA,98,""
9,"Jasmine Walt",17,"The Baine Chronicles Series, Books 1-3: Burned by Magic, Bound by Magic, Hunted by Magic",4.33,15,NA,NA,88,""
10,"Jasmine Walt",17,"Deceived by Magic",4,7,NA,NA,44,"The Baine Chronicles"
1,"Robert Jordan",18,"The Eye of the World",4.17,245793,1990,814,40,"Wheel of Time"
2,"Robert Jordan",18,"The Great Hunt",4.2,161538,1991,705,34,"Wheel of Time"
3,"Robert Jordan",18,"The Dragon Reborn",4.22,154958,2002,624,37,"Wheel of Time"
4,"Robert Jordan",18,"The Shadow Rising",4.2,121972,1993,1007,37,"Wheel of Time"
5,"Robert Jordan",18,"The Gathering Storm",4.33,93065,2009,783,40,"Wheel of Time"
6,"Robert Jordan",18,"Towers of Midnight",4.41,90665,2010,863,39,"Wheel of Time"
7,"Robert Jordan",18,"The Fires of Heaven",4.12,96186,1994,912,39,"Wheel of Time"
8,"Robert Jordan",18,"Lord of Chaos",4.09,90644,1995,1011,33,"Wheel of Time"
9,"Robert Jordan",18,"A Crown of Swords",3.98,84560,1997,880,37,"Wheel of Time"
10,"Robert Jordan",18,"Knife of Dreams",4.11,72405,2006,860,36,"Wheel of Time"
1,"Stephen King",19,"The Shining",4.15,759308,1980,416,29,"The Shining"
2,"Stephen King",19,"The Stand",4.33,433066,1990,1153,9,""
3,"Stephen King",19,"It",4.16,417410,1987,1116,2,""
4,"Stephen King",19,"Carrie",3.91,341579,2005,253,6,""
5,"Stephen King",19,"Misery",4.09,319890,1988,370,6,""
6,"Stephen King",19,"The Gunslinger",4,313944,2003,231,35,"The Dark Tower"
7,"Stephen King",19,"11/22/63",4.28,269035,2011,849,8,""
8,"Stephen King",19,"Pet Sematary",3.89,272011,2005,576,12,""
9,"Stephen King",19,"'Salem's Lot",3.98,233531,1991,483,12,""
10,"Stephen King",19,"The Green Mile",4.41,176739,1996,592,14,""
1,"Philip K. Dick",20,"Do Androids Dream of Electric Sheep?",4.07,220733,1996,256,36,""
2,"Philip K. Dick",20,"The Man in the High Castle",3.7,85446,NA,259,26,""
3,"Philip K. Dick",20,"A Scanner Darkly",4.04,57461,2006,219,16,""
4,"Philip K. Dick",20,"Ubik",4.1,51803,2006,288,4,""
5,"Philip K. Dick",20,"Flow My Tears, the Policeman Said",3.94,22885,2001,204,33,""
6,"Philip K. Dick",20,"The Three Stigmata of Palmer Eldritch",4.01,21529,2010,231,37,""
7,"Philip K. Dick",20,"VALIS",3.94,17510,2004,242,25,"VALIS Trilogy"
8,"Philip K. Dick",20,"The Minority Report",3.82,12177,2002,103,19,""
9,"Philip K. Dick",20,"The Collected Stories of Philip K. Dick 4: The Minority Report",4.18,7463,1998,396,62,""
10,"Philip K. Dick",20,"Martian Time-Slip",3.76,7444,1995,262,17,""
1,"D.K. Holmberg",21,"Chased by Fire",3.96,1157,NA,NA,43,"The Cloud Warrior Saga"
2,"D.K. Holmberg",21,"Bound by Fire",4.11,880,NA,NA,42,"The Cloud Warrior Saga"
3,"D.K. Holmberg",21,"Changed by Fire",4.11,811,NA,NA,44,"The Cloud Warrior Saga"
4,"D.K. Holmberg",21,"The Dark Ability",3.88,815,NA,NA,38,"The Dark Ability"
5,"D.K. Holmberg",21,"Fortress of Fire",4.16,695,NA,NA,45,"The Cloud Warrior Saga"
6,"D.K. Holmberg",21,"Forged in Fire",4.18,554,NA,NA,43,"The Cloud Warrior Saga"
7,"D.K. Holmberg",21,"The Heartstone Blade",3.97,558,NA,NA,42,"The Dark Ability"
8,"D.K. Holmberg",21,"Serpent of Fire",4.25,464,NA,NA,43,"The Cloud Warrior Saga"
9,"D.K. Holmberg",21,"The Tower of Venass",4.04,425,NA,NA,41,"The Dark Ability"
10,"D.K. Holmberg",21,"Servant of Fire",4.27,378,NA,NA,44,"The Cloud Warrior Saga"
1,"Charlie N. Holmberg",22,"The Paper Magician",3.62,33342,2014,224,51,"The Paper Magician Trilogy"
2,"Charlie N. Holmberg",22,"The Glass Magician",3.86,17988,2014,222,51,"The Paper Magician Trilogy"
3,"Charlie N. Holmberg",22,"The Master Magician",3.81,13177,2015,226,52,"The Paper Magician Trilogy"
4,"Charlie N. Holmberg",22,"Followed by Frost",4.21,2234,2015,232,17,""
5,"Charlie N. Holmberg",22,"Magic Bitter, Magic Sweet",3.67,2055,NA,306,25,""
6,"Charlie N. Holmberg",22,"My Bloody Valentine",4.14,79,2014,NA,19,""
7,"Charlie N. Holmberg",22,"Deep Magic - June 2016",4.2,40,NA,NA,22,""
1,"May Sage",23,"Cinderella",3.54,819,2016,260,41,"Not Quite the Fairy Tale"
2,"May Sage",23,"Beauty and the Beast",3.86,253,NA,NA,50,"Not Quite the Fairy Tale"
3,"May Sage",23,"Not quite the Fairy Tale: Bundle One.",4.04,223,2016,650,37,""
4,"May Sage",23,"A little Siren",3.89,227,NA,335,44,"Not Quite the Fairy Tale"
5,"May Sage",23,"Wordless",3.7,222,2016,250,26,"Age Of Blood"
6,"May Sage",23,"Little Red",4.15,189,2016,175,40,"Not Quite the Fairy Tale"
7,"May Sage",23,"The Snow Queen",3.76,188,NA,NA,44,"Not Quite the Fairy Tale"
8,"May Sage",23,"Worthless",3.87,109,NA,NA,27,"Age Of Blood"
9,"May Sage",23,"White as Snow",3.85,106,NA,NA,43,"Not Quite the Fairy Tale"
10,"May Sage",23,"Rumplestiltskin",3.82,84,NA,NA,45,"Not Quite the Fairy Tale"
1,"Nalini Singh",24,"Angels' Blood",4.12,53276,2009,339,32,"Guild Hunter"
2,"Nalini Singh",24,"Slave to Sensation",4.13,43877,2006,334,39,"Psy-Changeling"
3,"Nalini Singh",24,"Archangel's Kiss",4.24,36427,2010,323,35,"Guild Hunter"
4,"Nalini Singh",24,"Archangel's Consort",4.24,26523,2011,324,38,"Guild Hunter"
5,"Nalini Singh",24,"Caressed by Ice",4.33,24705,2007,352,36,"Psy-Changeling"
6,"Nalini Singh",24,"Visions of Heat",4.13,23379,2007,332,36,"Psy-Changeling"
7,"Nalini Singh",24,"Kiss of Snow",4.47,20428,2011,432,34,"Psy-Changeling"
8,"Nalini Singh",24,"Archangel's Blade",4.26,21209,2011,310,36,"Guild Hunter"
9,"Nalini Singh",24,"Branded by Fire",4.31,20414,2009,345,36,"Psy-Changeling"
10,"Nalini Singh",24,"Hostage to Pleasure",4.22,19972,2008,330,40,"Psy-Changeling"
1,"Linsey Hall",25,"Ancient Magic",3.92,1819,2016,260,47,"Dragon's Gift: The Huntress"
2,"Linsey Hall",25,"Mirror Mage",4.16,1103,2016,NA,45,"Dragon's Gift: The Huntress"
3,"Linsey Hall",25,"Stolen Magic",4.25,713,2016,240,45,"Dragon's Gift: The Huntress"
4,"Linsey Hall",25,"Eternal Magic",4.36,502,NA,NA,46,"Dragon's Gift: The Huntress"
5,"Linsey Hall",25,"Braving Fate",3.74,521,2014,340,36,"The Mythean Arcana"
6,"Linsey Hall",25,"Infinite Magic",4.44,356,2016,250,47,"Dragon's Gift: The Huntress"
7,"Linsey Hall",25,"Secret Worlds: A Paranormal Romance Boxed Set",4.03,312,2015,NA,45,""
8,"Linsey Hall",25,"Mythean Arcana: Paranormal Romance Boxed Set",4.13,265,2015,898,44,""
9,"Linsey Hall",25,"Soulceress",4.13,230,2014,354,10,""
10,"Linsey Hall",25,"Fate Undone",4.35,198,NA,NA,35,"The Mythean Arcana"
1,"Rebecca Hamilton",26,"The Forever Girl",3.63,1767,2012,263,38,"The Forever Girl"
2,"Rebecca Hamilton",26,"Shadow Born",3.98,1054,2016,227,33,"Shadows of Salem"
3,"Rebecca Hamilton",26,"Pandora",3.53,405,NA,NA,7,""
4,"Rebecca Hamilton",26,"Her Sweetest Downfall",3.77,351,2012,94,42,"Forever Girl"
5,"Rebecca Hamilton",26,"Secret Worlds: A Paranormal Romance Boxed Set",4.03,312,2015,NA,45,""
6,"Rebecca Hamilton",26,"Come, the Dark: Cordovae's Journey",4.18,213,2015,361,53,"Forever Girl"
7,"Rebecca Hamilton",26,"Taken by the Beast",3.82,207,NA,NA,35,"The Conduit"
8,"Rebecca Hamilton",26,"Alphas Unwrapped: 21 New Paranormal Holiday Hotties Sure to Make Santa's Naughty List",4.31,178,NA,NA,85,""
9,"Rebecca Hamilton",26,"Origin",4.23,111,NA,NA,19,""
10,"Rebecca Hamilton",26,"Happily Ever Alpha",4.28,103,2016,5000,18,""
1,"Duncan M Hamilton",27,"The Tattered Banner",3.61,1295,2013,372,46,"Society of the Sword"
2,"Duncan M Hamilton",27,"The Huntsman's Amulet",3.57,787,2013,358,48,"Society of the Sword"
3,"Duncan M Hamilton",27,"The Telastrian Song",3.67,410,2014,280,46,"Society of the Sword"
4,"Duncan M Hamilton",27,"The Wolf of the North: Wolf of the North Book 1",4.2,187,NA,NA,47,""
5,"Duncan M Hamilton",27,"The First Blade of Ostia",3.8,66,2014,370,24,""
6,"Duncan M Hamilton",27,"The Marcher Lord",4.19,16,NA,NA,16,""
7,"Duncan M Hamilton",27,"The Society of the Sword Trilogy",4.23,13,NA,NA,32,""
8,"Duncan M Hamilton",27,"The Swordsman of Tanosa: A Short Tale of the Middle Sea",3.27,11,NA,NA,55,""
1,"Harmony Raines",28,"Rescued by the Bear",3.69,633,NA,NA,41,"Bear Creek Clan"
2,"Harmony Raines",28,"Deceit",3.58,516,NA,NA,32,"Chosen by the Karal"
3,"Harmony Raines",28,"Santa Paws",3.94,454,NA,NA,39,"Christmas Bear Brothers"
4,"Harmony Raines",28,"Finding Her Bear",3.97,431,NA,NA,38,"Bear Creek Clan"
5,"Harmony Raines",28,"Love",3.77,432,NA,NA,30,"Chosen by the Karal"
6,"Harmony Raines",28,"Stranded",3.88,399,NA,164,31,"Warriors of Karal"
7,"Harmony Raines",28,"Tamed by the Bear",4.06,334,NA,NA,39,"Bear Creek Clan"
8,"Harmony Raines",28,"Her Scars to Bear",3.86,342,NA,NA,38,"Fated and Mated"
9,"Harmony Raines",28,"Power",3.8,341,NA,NA,30,"Chosen by the Karal"
10,"Harmony Raines",28,"Stranded With Her Bear",3.93,321,NA,NA,44,"Bear Bluff Clan"
1,"Kel Kade",29,"Free the Darkness",4.35,1957,NA,483,43,"King's Dark Tidings"
2,"Kel Kade",29,"Reign of Madness",4.51,1887,NA,NA,42,"King's Dark Tidings"
1,"Patrick Rothfuss",30,"The Name of the Wind",4.55,379608,2007,662,51,"The Kingkiller Chronicle"
2,"Patrick Rothfuss",30,"The Wise Man's Fear",4.57,245508,2011,994,50,"The Kingkiller Chronicle"
3,"Patrick Rothfuss",30,"The Slow Regard of Silent Things",3.91,56958,2014,159,64,"The Kingkiller Chronicle"
4,"Patrick Rothfuss",30,"Rogues",3.87,10532,2014,806,6,""
5,"Patrick Rothfuss",30,"The Thing Beneath the Bed",4.24,4219,NA,NA,77,"The Adventures of the Princess and Mr. Whiffle"
6,"Patrick Rothfuss",30,"Unfettered",3.8,3356,2013,574,10,""
7,"Patrick Rothfuss",30,"Doors of Stone",4.33,1898,NA,896,45,"The Kingkiller Chronicle"
8,"Patrick Rothfuss",30,"Epic: Legends of Fantasy",3.71,1660,2012,624,24,""
1,"Faith Hunter",31,"Skinwalker",3.88,23250,2009,320,32,"Jane Yellowrock"
2,"Faith Hunter",31,"Blood Cross",4.13,16475,2010,321,33,"Jane Yellowrock"
3,"Faith Hunter",31,"Mercy Blade",4.21,14998,2011,305,33,"Jane Yellowrock"
4,"Faith Hunter",31,"Raven Cursed",4.21,11673,2012,353,34,"Jane Yellowrock"
